Feature,Importance
pkt_len_var,0.07366028519597558
bwd_pkt_len_std,0.06592071044471301
bwd_seg_size_avg,0.06397140565587037
bwd_pkt_len_mean,0.061541304384863056
pkt_len_std,0.050076015236841596
bwd_pkt_len_max,0.04366226658496268
pkt_size_avg,0.03888711411692607
pkt_len_mean,0.03608037859354046
pkt_len_max,0.03468854436683243
totlen_bwd_pkts,0.03402463991042038
fwd_iat_std,0.027014800829426457
subflow_fwd_byts,0.02681068459565227
tot_fwd_pkts,0.025819010435129866
dst_port,0.0244121948581247
totlen_fwd_pkts,0.022262525496705758
subflow_bwd_byts,0.01993435808352333
fwd_header_len,0.018172700511534384
fwd_iat_max,0.01777213424829478
psh_flag_cnt,0.017554303128706268
subflow_fwd_pkts,0.017553974260102835
fwd_pkt_len_max,0.013607195265686434
init_fwd_win_byts,0.013473927233890862
flow_iat_std,0.013473483281310195
flow_pkts_s,0.013432202959109747
flow_iat_max,0.013345361163143528
fwd_act_data_pkts,0.013069323300443105
fwd_iat_mean,0.011645743369272585
fwd_seg_size_avg,0.01140914956600098
bwd_pkts_s,0.011393717863210515
fwd_seg_size_min,0.011315931036896543
bwd_header_len,0.011273217117403615
tot_bwd_pkts,0.01046140565763325
fwd_iat_tot,0.00971954539736055
flow_byts_s,0.009595385546400275
init_bwd_win_byts,0.009308470299605822
fwd_iat_min,0.008224790258412098
idle_mean,0.007033375489195284
bwd_pkt_len_min,0.0069784160528742365
subflow_bwd_pkts,0.006607308726883512
idle_max,0.00655830312380857
ack_flag_cnt,0.006491860185141926
fwd_pkt_len_mean,0.006118780294171146
flow_iat_mean,0.005961164640156501
fwd_pkts_s,0.003914262844877333
bwd_iat_mean,0.003913525267984886
bwd_iat_tot,0.0038617073516710935
flow_duration,0.003661963722279485
flow_iat_min,0.0033510061798793095
bwd_iat_max,0.0029742372998539483
fwd_pkt_len_std,0.0029264143211503984
pkt_len_min,0.0029206247798572575
fwd_pkt_len_min,0.0029198432879506474
active_mean,0.0026582035983031406
fin_flag_cnt,0.0025563536347188226
urg_flag_cnt,0.0025110243816782686
bwd_iat_std,0.002347537593613272
down_up_ratio,0.002209279351170277
active_max,0.0014165248724399054
active_min,0.0013837165789837194
idle_min,0.001086951066650481
bwd_iat_min,0.000982986232677285
active_std,0.0006657970292489816
fwd_psh_flags,0.0005856352183553619
syn_flag_cnt,0.0005336287026876658
idle_std,0.00030016220830415553
fwd_urg_flags,5.551860515806248e-07
cwr_flag_count,5.435773880216699e-07
ece_flag_cnt,5.662014717028545e-08
rst_flag_cnt,5.0325920005014525e-08
bwd_psh_flags,0.0
bwd_urg_flags,0.0
bwd_blk_rate_avg,0.0
bwd_pkts_b_avg,0.0
fwd_pkts_b_avg,0.0
fwd_byts_b_avg,0.0
bwd_byts_b_avg,0.0
fwd_blk_rate_avg,0.0
